run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,shape_fit_attempted,shape_fit_resolved,shape_fit_nonconcave,shape_fit_failed,ulp_step_adjusted,eps_ulps_bumped,fit_fast_sec,fit_high_precision_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-04-30 23:44:47,952,28.843711,1.235333,30.079045,453131,673,0.652151286409,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,953,27.785763,1.224292,29.010055,454083,673,0.651991614256,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,954,27.616974,1.296895,28.913869,455037,675,0.651832644122,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,955,27.628937,1.282904,28.911841,455987,677,0.652196836254,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,956,27.939377,1.271615,29.210992,456937,671,0.652037617555,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,957,28.985365,1.242755,30.228120,457903,671,0.651879096715,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,958,28.644763,1.282997,29.927760,458861,675,0.652242101119,0,3,0,3,3,0,0,0,0,0.000000,0.235209,3,3,3,0,1.0e+32
2026-04-30 23:44:47,959,28.514888,1.289863,29.804752,459811,675,0.652083333334,0,1,0,1,1,0,0,0,0,0.000000,0.113493,1,1,1,0,1.0e+32
2026-04-30 23:44:47,960,29.508941,1.232325,30.741267,460777,673,0.651925259283,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,961,28.639327,1.490866,30.130192,461743,674,0.652287083669,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,962,28.699134,1.273251,29.972385,462693,679,0.652128764278,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
