run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points
2026-04-30 15:24:08,2,0.000071,0.000385,0.000456,3
2026-04-30 15:24:08,3,0.000052,0.000242,0.000295,5
2026-04-30 15:24:08,4,0.000078,0.000222,0.000300,9
2026-04-30 15:24:08,5,0.000110,0.000214,0.000325,13
2026-04-30 15:24:08,6,0.000151,0.000286,0.000437,19
2026-04-30 15:24:08,7,0.000201,0.000246,0.000447,25
2026-04-30 15:24:08,8,0.000256,0.000242,0.000498,33
2026-04-30 15:24:08,9,0.000320,0.000251,0.000570,41
2026-04-30 15:24:08,10,0.000388,0.000294,0.000682,51
2026-04-30 15:24:08,11,0.000462,0.000295,0.000756,61
2026-04-30 15:24:08,12,0.000559,0.000299,0.000858,73
2026-04-30 15:24:08,13,0.000636,0.000346,0.000982,85
2026-04-30 15:24:08,14,0.000752,0.000357,0.001109,99
2026-04-30 15:24:08,15,0.000856,0.000347,0.001203,113
2026-04-30 15:24:08,16,0.000969,0.000650,0.001619,129
2026-04-30 15:24:08,17,0.001170,0.001257,0.002427,145
2026-04-30 15:24:08,18,0.001354,0.003508,0.004862,163
2026-04-30 15:24:08,19,0.001488,0.000650,0.002138,181
2026-04-30 15:24:08,20,0.001554,0.000741,0.002294,201
2026-04-30 15:24:08,21,0.001689,0.000879,0.002568,221
2026-04-30 15:24:08,22,0.001783,0.000626,0.002409,243
2026-04-30 15:24:08,23,0.002019,0.000623,0.002642,265
2026-04-30 15:24:08,24,0.002321,0.000753,0.003074,289
2026-04-30 15:24:08,25,0.002278,0.000673,0.002951,313
2026-04-30 15:24:08,26,0.002515,0.000731,0.003247,339
2026-04-30 15:24:08,27,0.002654,0.001130,0.003784,365
2026-04-30 15:24:08,28,0.003260,0.000986,0.004246,393
2026-04-30 15:24:08,29,0.003102,0.000787,0.003889,421
2026-04-30 15:24:08,30,0.003447,0.001299,0.004746,451
2026-04-30 15:24:08,31,0.003771,0.001101,0.004872,481
2026-04-30 15:24:08,32,0.003700,0.000854,0.004554,513
2026-04-30 15:24:08,33,0.004057,0.001180,0.005237,545
2026-04-30 15:24:08,34,0.004575,0.001261,0.005836,579
2026-04-30 15:24:08,35,0.004789,0.001333,0.006122,613
2026-04-30 15:24:08,36,0.004899,0.001104,0.006003,649
2026-04-30 15:24:08,37,0.005427,0.001017,0.006444,685
2026-04-30 15:24:08,38,0.005691,0.001171,0.006862,723
2026-04-30 15:24:08,39,0.005534,0.001299,0.006834,761
2026-04-30 15:24:08,40,0.006856,0.001193,0.008049,801
2026-04-30 15:24:08,41,0.006049,0.001674,0.007723,841
2026-04-30 15:24:08,42,0.006706,0.001270,0.007975,883
2026-04-30 15:24:08,43,0.006708,0.001420,0.008128,925
2026-04-30 15:24:08,44,0.007812,0.001392,0.009204,969
2026-04-30 15:24:08,45,0.007902,0.001754,0.009656,1013
2026-04-30 15:24:08,46,0.008194,0.001619,0.009813,1059
2026-04-30 15:24:08,47,0.008650,0.002008,0.010658,1105
2026-04-30 15:24:08,48,0.009438,0.001755,0.011193,1153
2026-04-30 15:24:08,49,0.009089,0.001754,0.010843,1201
2026-04-30 15:24:08,50,0.009844,0.007235,0.017078,1251
2026-04-30 15:24:08,51,0.009898,0.002300,0.012198,1301
2026-04-30 15:24:08,52,0.010629,0.002438,0.013067,1353
2026-04-30 15:24:08,53,0.010810,0.002092,0.012902,1405
2026-04-30 15:24:08,54,0.011557,0.002091,0.013648,1459
2026-04-30 15:24:08,55,0.011232,0.002110,0.013342,1513
2026-04-30 15:24:08,56,0.012399,0.002173,0.014572,1569
2026-04-30 15:24:08,57,0.012358,0.002614,0.014972,1625
2026-04-30 15:24:08,58,0.012897,0.002424,0.015321,1683
2026-04-30 15:24:08,59,0.013744,0.002435,0.016179,1741
2026-04-30 15:24:08,60,0.013299,0.002514,0.015812,1801
2026-04-30 15:24:08,61,0.014353,0.003624,0.017978,1861
2026-04-30 15:24:08,62,0.015547,0.003183,0.018730,1923
2026-04-30 15:24:08,63,0.015425,0.007113,0.022538,1985
2026-04-30 15:24:08,64,0.015853,0.003260,0.019114,2049
2026-04-30 15:24:08,65,0.015926,0.003298,0.019223,2113
