run_started_at,n,tie_idx,tie_index_signed,tie_p,i,j,anomaly_flags,eps_floor_hit,ulp_adjust_left,ulp_adjust_right,deadzone_used,deadzone_flat_side,methods_tried,deadzone_resolution,resolution_path,resolution_failure_reason,extremum_type,extremum_ambiguous,dir_change
2026-05-02 14:56:14,801,291939,131539,0.79966955476546842,476,769,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,804,46831,-114773,0.25616128624519874,83,348,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,804,46832,-114772,0.25616128624539725,121,299,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,804,276376,114772,0.74383871375460275,505,683,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,804,276377,114773,0.74383871375480126,456,721,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,813,103724,-61518,0.38520906759601092,101,547,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,821,215444,46934,0.5844163313847639,380,577,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,834,161549,-12340,0.47881471047885443,15,800,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,834,161550,-12339,0.4788147104795486,325,474,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,834,186228,12339,0.5211852895204514,360,509,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,834,186229,12340,0.52118528952114562,34,819,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,836,160103,-14621,0.47501869209569614,297,498,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,836,160104,-14620,0.4750186920963651,64,742,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,836,189344,14620,0.52498130790363484,94,772,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,836,189345,14621,0.52498130790430386,338,539,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,852,119718,-61758,0.39575233451611841,8,729,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,862,164592,-21169,0.46604110941514648,223,584,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,862,206931,21170,0.53395890040021221,174,737,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,870,45111,-144114,0.23152511566043438,129,280,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,870,45112,-144113,0.23152511566070857,76,349,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,870,333338,144113,0.76847488433929145,521,794,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,870,333339,144114,0.76847488433956568,590,741,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,871,182626,-7034,0.48880169295965337,8,854,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,871,196694,7034,0.51119830704034674,17,863,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,872,70973,-119123,0.29230752078126898,26,545,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,872,70974,-119122,0.29230752078195915,188,325,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,872,309218,119122,0.70769247921804079,547,684,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,872,309219,119123,0.70769247921873091,327,846,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,875,172486,-18920,0.4705452351490052,176,653,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,minimum,0,1
2026-05-02 14:56:14,875,172487,-18919,0.47054523514916391,196,632,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,minimum,0,1
2026-05-02 14:56:14,875,210325,18919,0.52945476485083598,243,679,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,minimum,0,1
2026-05-02 14:56:14,875,210326,18920,0.52945476485099485,222,699,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,maximum,0,1
2026-05-02 14:56:14,877,138872,-53410,0.41584312465609663,264,468,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,885,92090,-103716,0.33010289211281935,282,302,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,885,92091,-103715,0.33010289211323429,129,473,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,885,299521,103715,0.66989710788676582,412,756,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,885,299522,103716,0.66989710788718071,583,603,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,889,115940,-81640,0.3714793805050598,216,450,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,889,115941,-81639,0.37147938050565815,207,460,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,889,279219,81639,0.6285206194943419,429,682,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,889,279220,81640,0.62852061949494031,439,673,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,890,96871,-101154,0.33705878715770093,42,610,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,890,96872,-101153,0.33705878715851545,112,511,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,890,299178,101153,0.66294121284148455,379,778,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,890,299179,101154,0.66294121284229901,280,848,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,896,187554,-13150,0.48043172962131092,388,473,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,896,187555,-13149,0.4804317296216537,295,567,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,896,213853,13149,0.5195682703783463,329,601,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,896,213854,13150,0.51956827037868902,423,508,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,900,100779,-101721,0.34015658373273683,127,505,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,900,100780,-101720,0.34015658373312635,188,432,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,900,138112,-64388,0.40300853118651281,208,525,"eps_floor,deadzone",1,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,900,138113,-64387,0.40300853118698332,312,414,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,900,266887,64387,0.59699146881301657,486,588,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,900,266888,64388,0.59699146881348719,375,692,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,900,304220,101720,0.65984341626687371,468,712,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,900,304221,101721,0.65984341626726306,395,773,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,903,160285,-43567,0.43582409654000182,169,629,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,903,247418,43566,0.56417590332398659,497,522,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,minimum,0,1
2026-05-02 14:56:14,905,161567,-43189,0.43669373307229425,278,515,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,909,179295,-27275,0.46064228849993366,93,760,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,911,104809,-102671,0.3428685453122805,73,590,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,911,104810,-102670,0.34286854531260585,278,347,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,911,310150,102670,0.65713145468739409,564,633,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,911,310151,102671,0.6571314546877195,321,838,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,912,155357,-52579,0.42370131306486952,87,712,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,912,155358,-52578,0.42370131306586462,349,424,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,912,260514,52578,0.57629868693413533,488,563,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,912,260515,52579,0.57629868693513042,200,825,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,914,133908,-74941,0.38969140535240188,149,580,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
