run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points
2026-04-30 15:39:51,2,0.000083,0.000414,0.000497,3
2026-04-30 15:39:51,3,0.000054,0.000261,0.000315,5
2026-04-30 15:39:51,4,0.000081,0.000252,0.000332,9
2026-04-30 15:39:51,5,0.000116,0.000254,0.000370,13
2026-04-30 15:39:51,6,0.000157,0.000285,0.000442,19
2026-04-30 15:39:51,7,0.000207,0.000283,0.000490,25
2026-04-30 15:39:51,8,0.000264,0.000304,0.000568,33
2026-04-30 15:39:51,9,0.000332,0.000267,0.000598,41
2026-04-30 15:39:51,10,0.000399,0.000289,0.000688,51
2026-04-30 15:39:51,11,0.000581,0.000473,0.001054,61
2026-04-30 15:39:51,12,0.000546,0.000335,0.000881,73
2026-04-30 15:39:51,13,0.000622,0.000382,0.001004,85
2026-04-30 15:39:51,14,0.000740,0.000358,0.001098,99
2026-04-30 15:39:51,15,0.000819,0.000389,0.001208,113
2026-04-30 15:39:51,16,0.000950,0.000418,0.001368,129
2026-04-30 15:39:51,17,0.001064,0.002448,0.003512,145
2026-04-30 15:39:51,18,0.001287,0.005177,0.006464,163
2026-04-30 15:39:51,19,0.001390,0.000664,0.002054,181
2026-04-30 15:39:51,20,0.001496,0.000614,0.002110,201
2026-04-30 15:39:51,21,0.001738,0.000738,0.002476,221
2026-04-30 15:39:51,22,0.001727,0.000603,0.002330,243
2026-04-30 15:39:51,23,0.001964,0.000581,0.002544,265
2026-04-30 15:39:51,24,0.002333,0.000655,0.002989,289
2026-04-30 15:39:51,25,0.002208,0.000669,0.002878,313
2026-04-30 15:39:51,26,0.002396,0.000634,0.003031,339
2026-04-30 15:39:51,27,0.002716,0.000648,0.003364,365
2026-04-30 15:39:51,28,0.002794,0.000710,0.003504,393
2026-04-30 15:39:51,29,0.003115,0.001121,0.004236,421
2026-04-30 15:39:51,30,0.003335,0.001162,0.004497,451
2026-04-30 15:39:51,31,0.003561,0.000815,0.004376,481
2026-04-30 15:39:51,32,0.003586,0.001129,0.004715,513
2026-04-30 15:39:51,33,0.004089,0.000894,0.004983,545
2026-04-30 15:39:51,34,0.004518,0.001255,0.005773,579
2026-04-30 15:39:51,35,0.004497,0.001194,0.005691,613
2026-04-30 15:39:51,36,0.004788,0.001422,0.006210,649
2026-04-30 15:39:51,37,0.004929,0.001236,0.006165,685
2026-04-30 15:39:51,38,0.005633,0.001406,0.007038,723
2026-04-30 15:39:51,39,0.005547,0.001525,0.007072,761
2026-04-30 15:39:51,40,0.005740,0.001212,0.006952,801
2026-04-30 15:39:51,41,0.006345,0.001500,0.007845,841
2026-04-30 15:39:51,42,0.006764,0.001250,0.008014,883
2026-04-30 15:39:51,43,0.006898,0.001785,0.008683,925
2026-04-30 15:39:51,44,0.007455,0.001875,0.009330,969
2026-04-30 15:39:51,45,0.007543,0.001744,0.009287,1013
2026-04-30 15:39:51,46,0.007736,0.001631,0.009367,1059
2026-04-30 15:39:51,47,0.011454,0.007562,0.019016,1105
2026-04-30 15:39:51,48,0.026303,0.007286,0.033589,1153
2026-04-30 15:39:51,49,0.011482,0.002728,0.014210,1201
2026-04-30 15:39:51,50,0.011895,0.002434,0.014329,1251
2026-04-30 15:39:51,51,0.009723,0.002326,0.012049,1301
2026-04-30 15:39:51,52,0.009904,0.002122,0.012026,1353
2026-04-30 15:39:51,53,0.010691,0.001955,0.012646,1405
2026-04-30 15:39:51,54,0.011141,0.002339,0.013480,1459
2026-04-30 15:39:51,55,0.011239,0.002500,0.013739,1513
2026-04-30 15:39:51,56,0.011539,0.002121,0.013660,1569
2026-04-30 15:39:51,57,0.012234,0.002836,0.015070,1625
2026-04-30 15:39:51,58,0.012313,0.002764,0.015077,1683
2026-04-30 15:39:51,59,0.013127,0.002653,0.015781,1741
2026-04-30 15:39:51,60,0.013669,0.002715,0.016384,1801
2026-04-30 15:39:51,61,0.013789,0.003329,0.017118,1861
2026-04-30 15:39:51,62,0.014440,0.002949,0.017389,1923
2026-04-30 15:39:51,63,0.014511,0.003149,0.017659,1985
2026-04-30 15:39:51,64,0.014915,0.003307,0.018222,2049
2026-04-30 15:39:51,65,0.015364,0.003569,0.018933,2113
2026-04-30 15:39:51,66,0.016144,0.003745,0.019889,2179
2026-04-30 15:39:51,67,0.016465,0.003926,0.020391,2245
2026-04-30 15:39:51,68,0.017397,0.003344,0.020741,2313
2026-04-30 15:39:51,69,0.017305,0.003694,0.020999,2381
2026-04-30 15:39:51,70,0.017679,0.003896,0.021574,2451
2026-04-30 15:39:51,71,0.033828,0.003525,0.037353,2521
2026-04-30 15:39:51,72,0.019619,0.003570,0.023188,2593
2026-04-30 15:39:51,73,0.020179,0.004217,0.024396,2665
2026-04-30 15:39:51,74,0.020260,0.004596,0.024856,2739
2026-04-30 15:39:51,75,0.020679,0.003525,0.024204,2813
2026-04-30 15:39:51,76,0.021879,0.004275,0.026154,2889
2026-04-30 15:39:51,77,0.021777,0.003962,0.025739,2965
2026-04-30 15:39:51,78,0.022385,0.004307,0.026692,3043
2026-04-30 15:39:51,79,0.023081,0.004998,0.028079,3121
2026-04-30 15:39:51,80,0.024037,0.004103,0.028140,3201
2026-04-30 15:39:51,81,0.024535,0.004916,0.029451,3281
2026-04-30 15:39:51,82,0.025012,0.004593,0.029605,3363
2026-04-30 15:39:51,83,0.025027,0.004613,0.029640,3445
2026-04-30 15:39:51,84,0.026985,0.004794,0.031779,3529
2026-04-30 15:39:51,85,0.026426,0.004828,0.031255,3613
2026-04-30 15:39:51,86,0.027454,0.005431,0.032885,3699
2026-04-30 15:39:51,87,0.027955,0.005514,0.033468,3785
2026-04-30 15:39:51,88,0.029202,0.005948,0.035150,3873
2026-04-30 15:39:51,89,0.028706,0.005683,0.034389,3961
2026-04-30 15:39:51,90,0.029823,0.006369,0.036192,4051
2026-04-30 15:39:51,91,0.030372,0.007289,0.037661,4141
2026-04-30 15:39:51,92,0.031229,0.006789,0.038019,4233
2026-04-30 15:39:51,93,0.031928,0.006725,0.038654,4325
2026-04-30 15:39:51,94,0.032606,0.007101,0.039707,4419
2026-04-30 15:39:51,95,0.044610,0.006927,0.051537,4513
2026-04-30 15:39:51,96,0.033593,0.013342,0.046935,4609
2026-04-30 15:39:51,97,0.034363,0.008157,0.042520,4705
2026-04-30 15:39:51,98,0.035036,0.007466,0.042502,4803
2026-04-30 15:39:51,99,0.035936,0.007543,0.043480,4901
2026-04-30 15:39:51,100,0.037077,0.008188,0.045265,5001
2026-04-30 15:39:51,101,0.037385,0.008516,0.045901,5101
2026-04-30 15:39:51,102,0.038215,0.008310,0.046525,5203
2026-04-30 15:39:51,103,0.038732,0.008172,0.046905,5305
2026-04-30 15:39:51,104,0.039732,0.008341,0.048074,5409
2026-04-30 15:39:51,105,0.041020,0.008151,0.049171,5513
2026-04-30 15:39:51,106,0.041608,0.008447,0.050055,5619
2026-04-30 15:39:51,107,0.042340,0.008407,0.050748,5725
2026-04-30 15:39:51,108,0.056271,0.009731,0.066001,5833
2026-04-30 15:39:51,109,0.044615,0.008906,0.053522,5941
2026-04-30 15:39:51,110,0.044422,0.009885,0.054307,6051
2026-04-30 15:39:51,111,0.046168,0.010493,0.056662,6161
2026-04-30 15:39:51,112,0.046610,0.013740,0.060350,6273
2026-04-30 15:39:51,113,0.046934,0.009990,0.056924,6385
2026-04-30 15:39:51,114,0.048032,0.009605,0.057637,6499
2026-04-30 15:39:51,115,0.049302,0.010088,0.059390,6613
2026-04-30 15:39:51,116,0.049100,0.010499,0.059598,6729
2026-04-30 15:39:51,117,0.051137,0.010711,0.061848,6845
2026-04-30 15:39:51,118,0.051270,0.010195,0.061465,6963
2026-04-30 15:39:51,119,0.064607,0.010877,0.075484,7081
2026-04-30 15:39:51,120,0.054057,0.011043,0.065100,7201
2026-04-30 15:39:51,121,0.054252,0.012486,0.066739,7321
2026-04-30 15:39:51,122,0.054683,0.011335,0.066017,7443
2026-04-30 15:39:51,123,0.056613,0.013602,0.070214,7565
2026-04-30 15:39:51,124,0.057029,0.012239,0.069268,7689
2026-04-30 15:39:51,125,0.057467,0.012055,0.069521,7813
2026-04-30 15:39:51,126,0.059226,0.013112,0.072337,7939
2026-04-30 15:39:51,127,0.072777,0.014465,0.087242,8065
2026-04-30 15:39:51,128,0.059507,0.011427,0.070935,8193
2026-04-30 15:39:51,129,0.062515,0.013162,0.075677,8321
2026-04-30 15:39:51,130,0.063413,0.013336,0.076749,8451
2026-04-30 15:39:51,131,0.065170,0.013098,0.078268,8581
2026-04-30 15:39:51,132,0.064409,0.012569,0.076978,8713
2026-04-30 15:39:51,133,0.065790,0.013485,0.079275,8845
2026-04-30 15:39:51,134,0.067270,0.014901,0.082171,8979
2026-04-30 15:39:51,135,0.080479,0.012461,0.092939,9111
2026-04-30 15:39:51,136,0.067769,0.013135,0.080904,9249
2026-04-30 15:39:51,137,0.068262,0.018995,0.087257,9385
2026-04-30 15:39:51,138,0.071102,0.013271,0.084373,9523
2026-04-30 15:39:51,139,0.071221,0.013329,0.084550,9661
2026-04-30 15:39:51,140,0.071549,0.014770,0.086320,9801
