run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,shape_fit_attempted,shape_fit_resolved,shape_fit_nonconcave,shape_fit_failed,ulp_step_adjusted,eps_ulps_bumped
2026-04-30 16:03:06,2,0.000427,0.000510,0.000936,3,1,0.500000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,3,0.000506,0.000376,0.000882,5,3,0.633974596216,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,4,0.000494,0.000284,0.000778,9,3,0.600000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,5,0.000603,0.000305,0.000907,13,3,0.585786437627,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,6,0.000819,0.000315,0.001134,19,7,0.646110632135,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,7,0.001041,0.000321,0.001362,25,5,0.625000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,8,0.001319,0.000300,0.001619,33,5,0.612574113277,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,9,0.001673,0.000449,0.002122,41,11,0.651668522645,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,10,0.002107,0.000523,0.002630,51,7,0.636363636364,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,11,0.002826,0.000579,0.003405,61,7,0.625933303851,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,12,0.002944,0.000567,0.003510,73,11,0.617360894272,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,13,0.003453,0.000672,0.004125,85,9,0.642857142857,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,14,0.003969,0.000670,0.004639,99,9,0.633974596216,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,15,0.004356,0.000548,0.004904,113,11,0.656929669183,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,16,0.005288,0.000557,0.005845,129,11,0.647058823529,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,17,0.005899,0.000708,0.006608,145,11,0.639355090267,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,18,0.006541,0.000649,0.007190,163,11,0.631578947368,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,19,0.009291,0.001440,0.010731,181,15,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,20,0.007625,0.001138,0.008763,201,15,0.643210827675,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,21,0.009358,0.000764,0.010122,221,15,0.636363636364,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,22,0.010824,0.000716,0.011540,243,17,0.652173913043,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,23,0.010195,0.000889,0.011085,265,17,0.646110632135,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,25,0.013355,0.000884,0.014239,313,17,0.634830452061,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,24,0.014273,0.000794,0.015066,289,17,0.640000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,26,0.013023,0.000922,0.013945,339,21,0.648371295226,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,29,0.016479,0.001038,0.017517,421,23,0.650183396287,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,27,0.020958,0.000878,0.021836,365,17,0.642857142857,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,28,0.018415,0.002387,0.020802,393,19,0.638108799556,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,32,0.020250,0.001211,0.021461,513,27,0.651668522645,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,30,0.026220,0.001649,0.027868,451,19,0.645161290323,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,31,0.022274,0.001086,0.023360,481,21,0.640774297069,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,33,0.025772,0.001523,0.027295,545,25,0.647058823529,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,35,0.023779,0.001335,0.025114,613,27,0.639199718945,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,34,0.026626,0.001503,0.028129,579,23,0.642984250021,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,36,0.024904,0.001594,0.026498,649,27,0.648648648649,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,37,0.027335,0.001922,0.029256,685,23,0.644846332925,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,38,0.030821,0.001681,0.032502,723,27,0.641295120207,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,40,0.029836,0.001578,0.031414,801,27,0.646436743621,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,39,0.035552,0.001713,0.037265,761,27,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,41,0.036872,0.001634,0.038506,841,29,0.642857142857,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,42,0.037424,0.002044,0.039467,883,31,0.651162790698,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,43,0.039728,0.001811,0.041539,925,29,0.647810928038,0,0,0,0,0,0,0,0,0
2026-04-30 16:03:06,44,0.046867,0.001937,0.048804,969,31,0.644444444444,0,0,0,0,0,0,0,0,0
