run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,ulp_step_adjusted,hp_3point_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-05-02 12:27:57,356,3.093518,0.060501,3.154018,63369,253,0.651261810605,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,357,3.075210,0.061226,3.136437,63725,253,0.652235946058,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,358,3.094262,0.060408,3.154670,64083,249,0.651810584958,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,359,3.124273,0.073390,3.197663,64441,255,0.651390174920,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,360,3.108143,0.076264,3.184407,64801,253,0.652355859376,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,361,3.170807,0.064436,3.235243,65161,253,0.651933701657,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,362,3.184189,0.078907,3.263097,65523,259,0.651516417645,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,363,3.219403,0.088999,3.308402,65885,257,0.652473796238,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,364,3.442832,0.062954,3.505786,66249,253,0.652054794521,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,365,3.383546,0.066141,3.449687,66613,257,0.651640590949,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,366,3.445571,0.063205,3.508776,66979,257,0.652589159349,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,367,3.519983,0.067457,3.587440,67345,253,0.652173913043,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,368,3.471477,0.085843,3.557320,67713,259,0.651762745301,0,0,0,0,0.000000,0,0,0,0,1.0e+12
