run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points
2026-04-30 15:54:35,99,0.038675,0.007163,0.045838,4901
2026-04-30 15:54:35,100,0.041664,0.007473,0.049137,5001
2026-04-30 15:54:35,101,0.042642,0.007354,0.049996,5101
2026-04-30 15:54:35,102,0.044388,0.008450,0.052837,5203
2026-04-30 15:54:35,103,0.041462,0.007874,0.049336,5305
2026-04-30 15:54:35,104,0.043102,0.007992,0.051094,5409
2026-04-30 15:54:35,106,0.044387,0.008896,0.053284,5619
2026-04-30 15:54:35,105,0.052695,0.008082,0.060777,5513
2026-04-30 15:54:35,107,0.046270,0.010384,0.056655,5725
2026-04-30 15:54:35,108,0.046266,0.008692,0.054958,5833
2026-04-30 15:54:35,109,0.045943,0.009968,0.055911,5941
2026-04-30 15:54:35,110,0.050777,0.011819,0.062596,6051
2026-04-30 15:54:35,111,0.058395,0.008820,0.067214,6161
2026-04-30 15:54:35,112,0.057443,0.009040,0.066483,6273
2026-04-30 15:54:35,114,0.059822,0.011105,0.070927,6499
2026-04-30 15:54:35,113,0.067116,0.010097,0.077213,6385
2026-04-30 15:54:35,115,0.076743,0.011776,0.088519,6613
2026-04-30 15:54:35,116,0.080634,0.010159,0.090793,6729
2026-04-30 15:54:35,117,0.076319,0.013841,0.090159,6845
2026-04-30 15:54:35,118,0.078860,0.011227,0.090087,6963
2026-04-30 15:54:35,119,0.080506,0.010134,0.090640,7081
2026-04-30 15:54:35,120,0.081266,0.011060,0.092326,7201
2026-04-30 15:54:35,122,0.059269,0.011921,0.071190,7443
2026-04-30 15:54:35,121,0.072502,0.011686,0.084188,7321
2026-04-30 15:54:35,123,0.065435,0.010608,0.076044,7565
2026-04-30 15:54:35,124,0.063635,0.010727,0.074362,7689
2026-04-30 15:54:35,125,0.062675,0.011686,0.074361,7813
2026-04-30 15:54:35,126,0.068422,0.011091,0.079513,7939
2026-04-30 15:54:35,127,0.067870,0.013427,0.081297,8065
2026-04-30 15:54:35,128,0.065041,0.011527,0.076567,8193
2026-04-30 15:54:35,129,0.075253,0.022815,0.098068,8321
2026-04-30 15:54:35,130,0.067295,0.019317,0.086612,8451
2026-04-30 15:54:35,131,0.072890,0.012847,0.085737,8581
2026-04-30 15:54:35,133,0.077148,0.012101,0.089249,8845
2026-04-30 15:54:35,132,0.073789,0.018023,0.091812,8713
2026-04-30 15:54:35,134,0.080133,0.020533,0.100666,8979
2026-04-30 15:54:35,136,0.080513,0.015656,0.096169,9249
2026-04-30 15:54:35,135,0.080240,0.021016,0.101256,9111
2026-04-30 15:54:35,137,0.085247,0.017780,0.103027,9385
2026-04-30 15:54:35,138,0.090218,0.016145,0.106363,9523
2026-04-30 15:54:35,139,0.084321,0.014780,0.099101,9661
2026-04-30 15:54:35,140,0.076296,0.015846,0.092142,9801
2026-04-30 15:54:35,141,0.082293,0.016120,0.098413,9941
2026-04-30 15:54:35,143,0.088227,0.014281,0.102508,10225
2026-04-30 15:54:35,142,0.095774,0.014377,0.110150,10083
2026-04-30 15:54:35,144,0.091767,0.014704,0.106471,10369
2026-04-30 15:54:35,145,0.091784,0.018338,0.110122,10513
2026-04-30 15:54:35,146,0.092717,0.019080,0.111797,10659
2026-04-30 15:54:35,147,0.094203,0.014743,0.108946,10805
2026-04-30 15:54:35,148,0.089072,0.017372,0.106444,10953
2026-04-30 15:54:35,149,0.094975,0.017802,0.112777,11101
2026-04-30 15:54:35,151,0.097581,0.015768,0.113349,11401
2026-04-30 15:54:35,152,0.092511,0.017900,0.110411,11553
2026-04-30 15:54:35,150,0.106171,0.021810,0.127982,11251
2026-04-30 15:54:35,155,0.095892,0.025543,0.121435,12013
2026-04-30 15:54:35,154,0.101869,0.021918,0.123786,11859
2026-04-30 15:54:35,156,0.102726,0.016704,0.119431,12169
2026-04-30 15:54:35,153,0.109242,0.020321,0.129563,11705
2026-04-30 15:54:35,157,0.111719,0.020485,0.132204,12325
2026-04-30 15:54:35,158,0.104538,0.019026,0.123564,12483
2026-04-30 15:54:35,159,0.112892,0.018533,0.131425,12641
2026-04-30 15:54:35,160,0.113906,0.018090,0.131996,12801
2026-04-30 15:54:35,162,0.122162,0.018804,0.140966,13123
2026-04-30 15:54:35,163,0.124430,0.018634,0.143065,13285
2026-04-30 15:54:35,164,0.121576,0.020990,0.142566,13449
2026-04-30 15:54:35,161,0.127837,0.028842,0.156679,12961
2026-04-30 15:54:35,165,0.140142,0.023997,0.164139,13613
2026-04-30 15:54:35,166,0.142633,0.019481,0.162114,13779
2026-04-30 15:54:35,167,0.138352,0.032533,0.170885,13945
2026-04-30 15:54:35,168,0.137429,0.031597,0.169026,14113
2026-04-30 15:54:35,170,0.121247,0.021824,0.143071,14451
2026-04-30 15:54:35,171,0.135764,0.022162,0.157926,14621
2026-04-30 15:54:35,169,0.138534,0.024065,0.162600,14281
2026-04-30 15:54:35,172,0.140023,0.025400,0.165423,14793
2026-04-30 15:54:35,173,0.127079,0.024527,0.151606,14965
2026-04-30 15:54:35,174,0.127031,0.021267,0.148297,15139
2026-04-30 15:54:35,176,0.127660,0.022864,0.150525,15489
2026-04-30 15:54:35,175,0.141498,0.023481,0.164979,15313
2026-04-30 15:54:35,177,0.134292,0.033352,0.167644,15665
2026-04-30 15:54:35,179,0.130892,0.032791,0.163684,16021
2026-04-30 15:54:35,178,0.130266,0.035930,0.166197,15843
2026-04-30 15:54:35,180,0.133980,0.025141,0.159121,16201
