run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,shape_fit_attempted,shape_fit_resolved,shape_fit_nonconcave,shape_fit_failed,ulp_step_adjusted,eps_ulps_bumped
2026-04-30 16:19:46,803,19.215563,0.806623,20.022186,322395,575,0.652363443912,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,804,18.952888,0.802958,19.755846,323199,563,0.651553052560,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,805,19.028312,0.773138,19.801450,323997,561,0.651985369435,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,806,19.096489,0.768924,19.865413,324807,581,0.652416614890,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,807,19.413751,0.845556,20.259306,325613,565,0.651609166625,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,808,19.436870,0.783829,20.220700,326423,571,0.652039810981,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,809,19.435282,1.117716,20.552999,327233,579,0.652469392014,0,4,1,3,2,1,0,0,0
2026-04-30 16:19:46,810,19.897420,1.181357,21.078776,328033,563,0.651664865548,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,811,21.817061,0.832341,22.649402,328851,569,0.651478507070,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,812,21.600590,0.854936,22.455527,329659,585,0.651906519065,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,813,20.038439,0.878186,20.916625,330475,565,0.651720153920,0,1,1,1,0,1,0,0,0
2026-04-30 16:19:46,814,22.188664,0.937030,23.125694,331283,577,0.651534412229,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,815,22.769478,0.861990,23.631467,332099,575,0.651960784314,0,0,0,0,0,0,0,0,0
